usaf,wban,name,country,state,call,lat,lon,elev,begin,end
690014,99999,C STN  WHITE SANDS,US,NM,,32.35,-106.367,+1224.0,19870101,19910611
690020,93218,JOLON HUNTER LIGGETT MIL RES,US,CA,KHGT,36,-121.233,+0317.0,19640715,19970401
690020,99999,JOLON HUNTER LIGGETT MIL RES,US,CA,KHGT,36,-121.233,+0317.0,20030702,20030801
690070,93217,FRITZSCHE AAF,US,CA,KOAR,36.683,-121.767,+0043.0,19600404,19930831
690110,99999,SELFRIDGE ANGB/TRAIN,US,MI,,42.608,-82.835,+0177.0,19430614,19920507
690140,93101,EL TORO MCAS,US,CA,KNZJ,33.667,-117.733,+0116.7,19890101,19990630
690150,99999,TWENTYNINE PALMS,US,CA,KNXP,34.3,-116.167,+0626.0,19891115,19891229
690174,99999,INDIAN SPRINGS RANGE,US,NV,L63  ,36.533,-115.567,+0972.0,19780823,19800430
690190,13910,ABILENE DYESS AFB,US,TX,KDYS,32.433,-99.85,+0545.3,19431201,20091231
690190,99999,DYESS AFB/ABILENE,US,TX,,32.417,-99.85,+0545.0,20000103,20041230
690230,24255,WHIDBEY ISLAND NAS,US,WA,KNUW,48.35,-122.667,+0014.3,19891201,20090602
690240,99999,PACIFIC BEACH,US,WA,KNIX,47.217,-124.2,+0018.0,19800603,19851031
690260,99999,CHEBOYGAN,US,MI,,45.65,-84.467,+0176.0,19800611,20011023
690310,03125,YUMA PROVING GROUND,US,AZ,,32.833,-114.4,+0098.8,19870701,19900420
690320,99999,BLAINE HARBOR MUNI,US,WA,WA09 ,48.983,-122.733,+0021.0,19920416,19940303
690330,99999,HOOD CANAL BRIDGE,US,OR,K4S2 ,45.667,-121.533,+0192.0,19910307,20080106
690500,99999,FORT CHAFFEE,US,AR,KQCU,35.167,-94.2,+0143.0,19830119,19830119
690584,99999,LZ BULL / EXERCISE,US,CA,,33.067,-115.067,+0230.1,19990602,20010606
691164,99999,REDSTONE ARSENAL,US,AL,,34.683,-86.683,+0209.0,19771026,20010323
691324,99999,FORT BRAGG / TEST,US,NC,,35.15,-78.9,+0080.8,19951030,20001215
691414,99999,SPEED BAG AIRFIELD,US,CA,,33.267,-115.417,+0093.0,19850424,19971123
691484,99999,FAIRCHILD AFB / EXERCISE,US,WA,,47.617,-117.667,+0750.4,19840709,19950502
691804,99999,CAMP BLANDING,US,FL,KQLG,29.967,-81.983,+0059.0,19860119,19980202
