ID,LAT,LON,ELEVATION,STATE,coords,county,state2
US10adam002,40.5093,-98.5493,601.1,NE,"40.5093, -98.5493",Adams County,Nebraska
US10adam004,40.4798,-98.4026,570.0,NE,"40.4798, -98.4026",Adams County,Nebraska
US10adam008,40.4953,-98.2973,566.9,NE,"40.4953, -98.2973",Adams County,Nebraska
US10adam010,40.5532,-98.6297,622.1,NE,"40.5532, -98.6297",Adams County,Nebraska
US10adam015,40.6258,-98.7034,632.2,NE,"40.6258, -98.7034",Adams County,Nebraska
US10adam017,40.6567,-98.4789,607.2,NE,"40.6567, -98.4789",Adams County,Nebraska
US10adam019,40.6114,-98.5543,619.0,NE,"40.6114, -98.5543",Adams County,Nebraska
US10adam022,40.5936,-98.4299,597.1,NE,"40.5936, -98.4299",Adams County,Nebraska
US10adam024,40.3901,-98.2715,548.9,NE,"40.3901, -98.2715",Clay County,Nebraska
US10adam032,40.3571,-98.4208,0.0,NE,"40.3571, -98.4208",Adams County,Nebraska
US10adam034,40.6129,-98.6482,0.0,NE,"40.6129, -98.6482",Adams County,Nebraska
US10adam036,40.5609,-98.402,0.0,NE,"40.5609, -98.402",Adams County,Nebraska
US10adam046,40.5443,-98.4208,0.0,NE,"40.5443, -98.4208",Adams County,Nebraska
US10adam051,40.4166,-98.5341,0.0,NE,"40.4166, -98.5341",Adams County,Nebraska
US10adam056,40.58,-98.3717,0.0,NE,"40.58, -98.3717",Adams County,Nebraska
US10adam057,40.6607,-98.5535,0.0,NE,"40.6607, -98.5535",Adams County,Nebraska
US10bann007,41.5037,-103.7634,0.0,NE,"41.5037, -103.7634",Banner County,Nebraska
US10blai004,41.9043,-100.2657,826.9,NE,"41.9043, -100.2657",Thomas County,Nebraska
US10boon002,41.5249,-97.9933,540.1,NE,"41.5249, -97.9933",Boone County,Nebraska
US10boon005,41.6402,-97.9951,573.9,NE,"41.6402, -97.9951",Boone County,Nebraska
US10boon010,41.6689,-98.1166,548.9,NE,"41.6689, -98.1166",Boone County,Nebraska
US10box_001,42.1911,-102.9518,1250.0,NE,"42.1911, -102.9518",Box Butte County,Nebraska
US10box_007,42.1675,-102.8005,1206.1,NE,"42.1675, -102.8005",Box Butte County,Nebraska
US10box_024,42.3263,-102.9934,0.0,NE,"42.3263, -102.9934",Box Butte County,Nebraska
US10buff002,40.7062,-99.1142,694.9,NE,"40.7062, -99.1142",Buffalo County,Nebraska
US10buff004,40.6908,-99.094,662.0,NE,"40.6908, -99.094",Buffalo County,Nebraska
US10buff006,40.9223,-99.3868,726.9,NE,"40.9223, -99.3868",Buffalo County,Nebraska
US10buff007,40.9903,-98.8699,633.1,NE,"40.9903, -98.8699",Buffalo County,Nebraska
US10buff036,40.7853,-99.1653,0.0,NE,"40.7853, -99.1653",Buffalo County,Nebraska
US10buff039,40.8153,-98.8355,0.0,NE,"40.8153, -98.8355",Buffalo County,Nebraska
US10burt002,41.6965,-96.3619,388.9,NE,"41.6965, -96.3619",Burt County,Nebraska
US10butl005,41.185,-97.2542,484.9,NE,"41.185, -97.2542",Butler County,Nebraska
US10butl008,41.158,-96.9952,490.1,NE,"41.158, -96.9952",Butler County,Nebraska
US10butl011,41.3221,-97.3465,451.1,NE,"41.3221, -97.3465",Butler County,Nebraska
US10cass001,40.9946,-95.8976,337.1,NE,"40.9946, -95.8976",Cass County,Nebraska
US10cass005,40.865,-96.1171,335.9,NE,"40.865, -96.1171",Cass County,Nebraska
US10ceda002,42.7652,-97.3027,401.1,NE,"42.7652, -97.3027",Cedar County,Nebraska
US10ceda006,42.4971,-97.2691,485.9,NE,"42.4971, -97.2691",Cedar County,Nebraska
US10ceda009,42.5654,-97.1363,474.9,NE,"42.5654, -97.1363",Cedar County,Nebraska
US10chas001,40.5158,-101.6451,1004.0,NE,"40.5158, -101.6451",Chase County,Nebraska
US10chas002,40.4629,-101.5907,975.1,NE,"40.4629, -101.5907",Chase County,Nebraska
US10chas003,40.4085,-101.6227,1054.0,NE,"40.4085, -101.6227",Chase County,Nebraska
US10chas011,40.5667,-101.7244,1014.1,NE,"40.5667, -101.7244",Chase County,Nebraska
US10chas012,40.4836,-101.9051,1035.1,NE,"40.4836, -101.9051",Chase County,Nebraska
US10chas016,40.5227,-101.9864,1068.9,NE,"40.5227, -101.9864",Chase County,Nebraska
US10chas019,40.5059,-101.4966,1021.1,NE,"40.5059, -101.4966",Chase County,Nebraska
US10chas023,40.6832,-101.6432,1018.0,NE,"40.6832, -101.6432",Chase County,Nebraska
US10chas025,40.4213,-101.7182,1015.9,NE,"40.4213, -101.7182",Chase County,Nebraska
US10chas028,40.4688,-101.541,972.0,NE,"40.4688, -101.541",Chase County,Nebraska
US10chas029,40.4434,-101.7821,1028.1,NE,"40.4434, -101.7821",Chase County,Nebraska
US10chas033,40.393,-101.7795,1029.0,NE,"40.393, -101.7795",Chase County,Nebraska
US10chas035,40.6539,-101.4379,0.0,NE,"40.6539, -101.4379",Chase County,Nebraska
US10chas036,40.6376,-101.4573,0.0,NE,"40.6376, -101.4573",Chase County,Nebraska
US10cher005,42.872,-100.5448,787.0,NE,"42.872, -100.5448",Cherry County,Nebraska
US10cher013,42.3536,-100.6312,900.1,NE,"42.3536, -100.6312",Cherry County,Nebraska
US10cher018,42.9955,-101.7119,1004.9,NE,"42.9955, -101.7119",Bennett County,South Dakota
US10cher024,42.82,-101.2825,862.9,NE,"42.82, -101.2825",Cherry County,Nebraska
US10cher025,42.6558,-100.2688,826.9,NE,"42.6558, -100.2688",Brown County,Nebraska
US10cher027,42.8978,-101.2733,0.0,NE,"42.8978, -101.2733",Cherry County,Nebraska
US10cher032,42.6638,-100.6651,0.0,NE,"42.6638, -100.6651",Cherry County,Nebraska
US10chey007,41.126999999999995,-102.97,1257.9,NE,"41.126999999999995, -102.97",Cheyenne County,Nebraska
US10chey010,41.3766,-103.0495,1323.1,NE,"41.3766, -103.0495",Cheyenne County,Nebraska
US10chey018,41.3722,-103.1112,1338.1,NE,"41.3722, -103.1112",Cheyenne County,Nebraska
US10chey019,41.3264,-102.9948,1310.9,NE,"41.3264, -102.9948",Cheyenne County,Nebraska
US10chey021,41.1554,-102.9844,1282.9,NE,"41.1554, -102.9844",Cheyenne County,Nebraska
US10chey025,41.1289,-102.9701,1247.9,NE,"41.1289, -102.9701",Cheyenne County,Nebraska
US10chey028,41.0317,-102.9277,1296.9,NE,"41.0317, -102.9277",Cheyenne County,Nebraska
US10chey032,41.0675,-102.6314,1234.1,NE,"41.0675, -102.6314",Cheyenne County,Nebraska
US10chey033,41.0246,-103.2684,1389.9,NE,"41.0246, -103.2684",Cheyenne County,Nebraska
US10chey036,41.1334,-103.2254,1328.0,NE,"41.1334, -103.2254",Cheyenne County,Nebraska
US10chey037,41.0622,-103.2221,1323.1,NE,"41.0622, -103.2221",Cheyenne County,Nebraska
US10chey040,41.3504,-103.2507,1382.9,NE,"41.3504, -103.2507",Cheyenne County,Nebraska
US10chey046,41.18899999999999,-103.2204,1330.1,NE,"41.18899999999999, -103.2204",Cheyenne County,Nebraska
US10chey049,41.0492,-103.1975,0.0,NE,"41.0492, -103.1975",Cheyenne County,Nebraska
US10chey060,41.1339,-102.9777,0.0,NE,"41.1339, -102.9777",Cheyenne County,Nebraska
US10clay004,40.5318,-98.10700000000001,552.9,NE,"40.5318, -98.10700000000001",Clay County,Nebraska
US10clay005,40.4019,-97.9945,530.0,NE,"40.4019, -97.9945",Clay County,Nebraska
US10clay008,40.4549,-98.0329,537.1,NE,"40.4549, -98.0329",Clay County,Nebraska
US10clay009,40.6115,-98.2773,570.9,NE,"40.6115, -98.2773",Clay County,Nebraska
US10clay013,40.4615,-98.0694,544.1,NE,"40.4615, -98.0694",Clay County,Nebraska
US10clay023,40.4473,-98.0466,537.1,NE,"40.4473, -98.0466",Clay County,Nebraska
US10clay029,40.4086,-98.1087,0.0,NE,"40.4086, -98.1087",Clay County,Nebraska
US10clay039,40.6236,-98.0925,0.0,NE,"40.6236, -98.0925",Clay County,Nebraska
US10clay041,40.5199,-98.0526,0.0,NE,"40.5199, -98.0526",Clay County,Nebraska
US10colf001,41.7014,-97.0731,460.9,NE,"41.7014, -97.0731",Colfax County,Nebraska
US10colf003,41.596000000000004,-97.1614,487.1,NE,"41.596000000000004, -97.1614",Colfax County,Nebraska
US10cumi003,41.8664,-96.7995,431.0,NE,"41.8664, -96.7995",Cuming County,Nebraska
US10cumi008,41.9301,-96.8078,417.0,NE,"41.9301, -96.8078",Cuming County,Nebraska
US10cumi012,42.0149,-96.5756,0.0,NE,"42.0149, -96.5756",Cuming County,Nebraska
